rating_text,rating,foodie_level_num,review_time_friendly,id,likes,review_text
Avoid!,1,2,one month ago,2400358,1,Bad service they are very bad service they don't deliver any food nshuxudjdjsjjjshhshsjssjhsshhshdbdbdbdbdhdhdhdbddbdbdbbdbdbddhdhdhxhxhhddb...
Avoid!,1,2,one month ago,2400358,1,What to say about domino's it's the best pizza destination ever !!! the only and big problem is limited delivery area. Plz spread your deliv...
Insane!,5,2,11 days ago,2400356,1,The place is really very awesome and the service is too excellent. The representation of the food is very good and we have excellent time th...
Great!,4,2,18 days ago,2400356,0,Food was good for the given prices. Ambience wasn't good and the place was very congested. The staff had a rude behavior. And you lose extra...
Blah!,2,2,27 days ago,2400356,1,There is no delivery option chowk meerapur zero road allahabad area very disappointed this matter plz do something this delivery for those a...
Great!,4,6,one month ago,2400356,0,"Excellent for pizzas ,wraps, and choco lava cakes which are soooo goood.I just find that the sitting arrangement is quite compact therefore ..."
Average,3,4,2 months ago,2400356,0,"The place is too small to accommodate large crowd. The billing and service is bit slow and above all, there was drinking water facility prov..."
Insane!,5,2,17 hours ago,2400193,1,An good restaurant with good hygiene foodie great restaurant for foodie lovers I always pick this restrau to order with great deals and offe...
Insane!,5,2,2 days ago,2400193,0,Food is too good suitable for health property digest overall experience is excellent but sometime content inside the package is not properly...
Avoid!,1,2,6 days ago,2400193,0,Ordered a chicken curry but was disappointed as they don't know the taste of curry it has no taste of curry a simple gravy of onion and toma...
Average,3,2,7 days ago,2400193,0,I was orderd the 2 tandoor but they give me 3 roti and I was disturb for this please improve your service. Focus on the order what we orderd...
Avoid!,1,2,12 days ago,2400193,0,Food was completely unhealthy. I ordered chicken curry with 2 tandoori rotis. Chicken gravy was half full of oil and it tasted so bad.i thre...
Great!,4,4,yesterday,2400009,0,Peaceful and elegant ambience. Best place to have get together with your family and friends. Service was good and fast. Taste is pure north ...
Insane!,5,2,13 days ago,2400009,0,"Best vegetarian restaurant in Allahabad Food quality, ambience everything perfect Love to visit at least once a month. Service is awesome. P..."
Insane!,5,3,16 days ago,2400009,1,I have visited several times this place . Food was always very delecious and tasty .This is best place for vegetarian food . It always serve...
Great!,4,5,19 days ago,2400009,2,"#latereview  Had experience this place a couple of times during my visit to inlaws.  The name itself reminds me of my time in Delhi, where t..."
Insane!,5,2,22 days ago,2400009,0,The best restaurant my family and i have visited.the rate is a little bit high but tasta and service make it affordable.every person should ...
Great!,4,4,yesterday,2400020,0,"I ordered kathi role, paan icecream and deluxe thali. Cost is good. Ambience is ok. Their thalis are cheap and great in taste. If you're too..."
Insane!,5,4,13 days ago,2400020,1,Went there with my family during khumb... Simple place and also good place for family visit... Food was yum and quantity was also nice.. You...
Great!,4,5,19 days ago,2400020,1,Good food..nice ambience..staff is cooperative..loved the food quantity..keema paratha was too good..a pocket friendly place to have good fo...
Great!,4,5,20 days ago,2400020,1,"Ambiance is simple yet comfy .  Food taste and quantity is good , they offer so many options in menu .  Self service and service is prompt ...."
Insane!,5,2,one month ago,2400020,2,"VERY GOOD FOOD, Awesome for Indian/Mexican/Italian/Chinese food Affordable not expensive Good Quality and Quantity The Home delivery is also..."
Insane!,5,2,2 days ago,2400018,0,"One of my favorite place in prayagraj. Loved the taste, ambience and their staffs are very cooperative. Great Food at Great Price. Good thin..."
Insane!,5,12,11 days ago,2400018,0,"We were in Pryagraj for Kumbh and were looking for a nice place to eat, few people we inquired from recommended El Chico. This is a nice ver..."
Avoid!,1,3,19 days ago,2400018,0,The gate man responsible for reservations is extremely rude and obnoxious. Told us there is an hour long wait and called us in 10 mins after...
Average,3,5,19 days ago,2400018,1,#latereview  Oh well. It's a dilemma reviewing a must loved place and giving it a low rating.  Couple of visits to the next-door cafe and pa...
Insane!,5,3,21 days ago,2400018,0,One of the best and classy restaurant in prayag. Food is mildly spiced which is thums up for me. Every waiter is so decent. Both days during...
Great!,4,5,20 days ago,2400014,0,"This place is my regular haunt for burgers and fries . When you can't decide where to go to have some quick meals , come here !! Prices are ..."
Great!,4,2,21 days ago,2400014,0,Mc donalds has always been very good ...offers are good...staff is nice ..only concern is since there is only one McDonalds outlet in prayag...
Average,3,3,one month ago,2400014,0,Attractions: •Quick and easy service. •Extra points on hygiene. •Trained professional staff. •Variety of options to explore.  Turnof...
Insane!,5,4,one month ago,2400014,0,"Who can hate McDonald's? I am lovi'it ❤ Best burgers.. Best service, very quick and cooperative staff.. Price wise and taste wise, McDonal..."
Great!,4,5,2 months ago,2400014,0,Best place for giving party to your friends At budget expenditure..... MC burger Aloo Tikki and MC puff is very good and special product.......
