"srno","id","name","url","address","locality","city","city_id","latitude","longitude","locality_verbose","cuisines","average_cost_for_two","price_range","currency","aggregate_rating","rating_text","rating_color","votes","has_fake_reviews","has_online_delivery","is_table_reservation_supported","has_table_booking"
"15","2400019","Bikanerwala","https://www.zomato.com/allahabad/bikanerwala-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4513358811","81.8326148763","Civil Lines, Allahabad","North Indian, Street Food, Fast Food","500","3","Rs.","4.2","Very Good","5BA829","216","0","1","0","0"
"16","18799013","Nainital Momos","https://www.zomato.com/allahabad/nainital-momos-10-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","45A/89C/2, Thornill Road, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4597619897","81.8386418000","Civil Lines, Allahabad","Momos, Beverages","400","2","Rs.","4.1","Very Good","5BA829","118","0","1","0","0"
"17","2400510","Cafe BigBoxx","https://www.zomato.com/allahabad/cafe-bigboxx-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Orchard One Hotel \nNear Big Bazaar, \nCivil Lines,\nAllahabad","Civil Lines","Allahabad","24","25.4517463929","81.8374706805","Civil Lines, Allahabad","Indian, Continental","600","3","Rs.","4.2","Very Good","5BA829","124","0","1","0","0"
"18","2400349","Pizza Hut","https://www.zomato.com/allahabad/pizza-hut-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","31/31, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4558653587","81.8354020268","Civil Lines, Allahabad","Italian, Pizza","700","3","Rs.","4.0","Very Good","5BA829","543","0","1","0","0"
"19","18708164","BrewBakes","https://www.zomato.com/allahabad/brewbakes-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","45/A/1A/4, Dayanand Marg, Near Dhobi Petrol Pump Chauraha, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4597093170","81.8388701230","Civil Lines, Allahabad","Cafe","500","3","Rs.","3.8","Good","9ACD32","85","0","1","0","0"
"20","2400293","Paradise","https://www.zomato.com/allahabad/paradise-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","19/35, MG Marg, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4501830501","81.8317683041","Civil Lines, Allahabad","Desserts, Fast Food","500","3","Rs.","4.5","Excellent","3F7E00","202","0","1","0","0"
"21","2400014","McDonald's","https://www.zomato.com/allahabad/mcdonalds-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Shop 4, 34-B, M G Marg, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4505045603","81.8362633511","Civil Lines, Allahabad","Burger, Fast Food","500","3","Rs.","4.3","Very Good","5BA829","492","0","0","0","0"
"22","2400713","Shree Kanha Sweets & Restaurant","https://www.zomato.com/allahabad/shree-kanha-sweets-restaurant-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Lowther Road, George Town, Allahabad","George Town","Allahabad","24","25.4490299054","81.8545027077","George Town, Allahabad","Mithai, North Indian, Street Food","500","3","Rs.","4.1","Very Good","5BA829","61","0","1","0","0"
"23","18708091","Raju Kitchen Restaurant","https://www.zomato.com/allahabad/raju-kitchen-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Tandon Road, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4562404361","81.8309160322","Civil Lines, Allahabad","North Indian, Chinese","400","2","Rs.","3.9","Good","9ACD32","147","0","1","0","0"
"24","2400195","Cafe El Chico","https://www.zomato.com/allahabad/cafe-el-chico-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","142A, 32, Mahatma Gandhi, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4499432793","81.8362127244","Civil Lines, Allahabad","Cafe, Italian, Continental","1000","4","Rs.","4.3","Very Good","5BA829","222","0","1","0","0"
"25","2400390","Haldiram Bhujiawala","https://www.zomato.com/allahabad/haldiram-bhujiawala-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","25, Tashkent Marg, Civil Lines, Allahabad","Civil Lines","Allahabad","24","25.4556116737","81.8342027441","Civil Lines, Allahabad","North Indian, Fast Food, Street Food, South Indian, Chinese","700","3","Rs.","4.1","Very Good","5BA829","301","0","0","0","0"
