city_id,cuisines,currency,is_table_reservation_supported,is_book_form_web_view,average_cost_for_two,locality_verbose,id,switch_to_order_menu,votes,aggregate_rating,country_id,has_fake_reviews,latitude,rating_text,has_table_booking,address,price_range,name,has_online_delivery,url,longitude,rating_color
24,"Cafe, Italian, Continental",Rs.,0,0,1000,"Civil Lines, Allahabad",2400195,0,216,4.3,1,0,25.4499432793,Very Good,0,"142A, 32, Mahatma Gandhi, Civil Lines, Allahabad",4,Cafe El Chico,1,https://www.zomato.com/allahabad/cafe-el-chico-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8362127244,5BA829
24,"North Indian, Street Food, Fast Food",Rs.,0,0,500,"Civil Li//console.log(data)nes, Allahabad",2400019,0,208,4.1,1,0,25.4513358811,Very Good,0,"2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad",3,Bikanerwala,1,https://www.zomato.com/allahabad/bikanerwala-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8326148763,5BA829
24,"North Indian, Fast Food, Street Food, South Indian, Chinese",Rs.,0,0,700,"Civil Lines, Allahabad",2400390,0,288,4.1,1,0,25.4556116737,Very Good,0,"25, Tashkent Marg, Civil Lines, Allahabad",3,Haldiram Bhujiawala,0,https://www.zomato.com/allahabad/haldiram-bhujiawala-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8342027441,5BA829
24,"North Indian, Chinese, Continental",Rs.,0,0,1000,"Civil Lines, Allahabad",18889008,0,75,4.2,1,0,25.4498680000,Very Good,0,"Hotel Samrat, Civil Lines, Allahabad",4,EDEN by Connoisseur,0,https://www.zomato.com/allahabad/eden-by-connoisseur-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8336210000,5BA829
24,North Indian,Rs.,0,0,500,"Katra, Allahabad",2400661,0,95,3.9,1,0,25.4933473388,Good,0,"Allahabad - Pratapgarh Road, Barrister Mullah Colony, MNNIT Allahabad Campus, Teliarganj, Allahabad",3,Black Out Restaurant,1,https://www.zomato.com/allahabad/black-out-restaurant-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8609634787,9ACD32
24,"Chinese, Continental, Momos",Rs.,0,0,300,"Civil Lines, Allahabad",2400596,0,79,3.9,1,0,25.4553010753,Good,0,"38/1, Tashkand Marg, Agnipath Colony, Civil Lines, Prayagraj,",2,The Pantry Car,1,https://www.zomato.com/allahabad/the-pantry-car-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8356548250,9ACD32
24,"North Indian, Chinese",Rs.,0,0,500,"Civil Lines, Allahabad",2400017,0,330,2.7,1,0,25.4505127343,Average,0,"17/33, Mahatama Gandhi Marg, Civil Lines, Allahabad",3,Tandoor Restaurant,1,https://www.zomato.com/allahabad/tandoor-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8313559145,FFBA00
24,"Desserts, Fast Food",Rs.,0,0,500,"Civil Lines, Allahabad",2400293,0,198,4.5,1,0,25.4501830501,Excellent,0,"19/35, MG Marg, Civil Lines, Allahabad",3,Paradise,1,https://www.zomato.com/allahabad/paradise-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8317683041,3F7E00
24,"Biryani, Mughlai",Rs.,0,0,500,"Civil Lines, Allahabad",18707628,0,146,2.4,1,0,25.4554270100,Poor,0,"26, Tashkent Marg, Madhopur, Allahabad",3,Baba Biryani,1,https://www.zomato.com/allahabad/baba-biryani-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8360980600,FF7800
24,"North Indian, Mediterranean",Rs.,1,0,1200,"Civil Lines, Allahabad",2400739,0,235,4.6,1,0,25.4494530000,Excellent,1,"Fifth Floor, P Square Mall, MG Road, Civil Lines, Allahabad",4,Barbeque Nation,0,https://www.zomato.com/allahabad/barbeque-nation-2-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8395360000,3F7E00
24,"South Indian, Chinese",Rs.,0,0,500,"Civil Lines, Allahabad",2400144,0,244,3.9,1,0,25.4597453403,Good,0,"60 C, Thornhill Road, Civil Lines, Allahabad",3,The Tamarind Tree,1,https://www.zomato.com/allahabad/the-tamarind-tree-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8349437043,9ACD32
24,"Pizza, Beverages",Rs.,0,0,400,"Civil Lines, Allahabad",2400459,0,330,4.1,1,0,25.4520000860,Very Good,0,"Vinayak City Square, Sardar Patel Marg, Parade Ground, Civil Lines, Allahabad",2,Chicago Pizza,1,https://www.zomato.com/allahabad/chicago-pizza-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8350791559,5BA829
24,"North Indian, South Indian, Chinese",Rs.,0,0,600,"Katra, Allahabad",2400081,0,96,3.6,1,0,25.4647321908,Good,0,"17/2, Kutchery Road, Katra, Allahabad",3,Chhappan Bhog,1,https://www.zomato.com/allahabad/chhappan-bhog-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8487413228,9ACD32
24,"Fast Food, Chinese",Rs.,0,0,300,"Naini, Allahabad",2400600,0,85,4.0,1,0,25.4101150155,Very Good,0,"262, Armaan Market, Indalpur Road, Mahewa, Near Bank Of Baroda, Naini, Allahabad",2,Hot n Cool,1,https://www.zomato.com/allahabad/hot-n-cool-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8447079510,5BA829
24,"Fast Food, Desserts",Rs.,0,0,500,"Tagore Town, Allahabad",2400250,0,136,4.3,1,0,25.4572808989,Very Good,0,"3/3 Hashimpur Road, Tagore Town, Allahabad",3,Paradise Confectioner,1,https://www.zomato.com/allahabad/paradise-confectioner-tagore-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8600495160,5BA829
24,"North Indian, Fast Food",Rs.,0,0,500,"Civil Lines, Allahabad",2400016,0,266,4.0,1,0,25.4526318946,Very Good,0,"21 C, Lal Bhadhur Shastri Marg, Civil Lines, Allahabad",3,Hot Stuff,0,https://www.zomato.com/allahabad/hot-stuff-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8347324803,5BA829
24,"Indian, Continental",Rs.,0,0,600,"Civil Lines, Allahabad",2400510,0,121,4.2,1,0,25.4517463929,Very Good,0,"Orchard One Hotel 
Near Big Bazaar, 
Civil Lines,
Allahabad",3,Cafe BigBoxx,1,https://www.zomato.com/allahabad/cafe-bigboxx-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8374706805,5BA829
24,"North Indian, Chinese",Rs.,0,0,400,"Civil Lines, Allahabad",18708091,0,133,3.9,1,0,25.4562404361,Good,0,"Tandon Road, Civil Lines, Allahabad",2,Raju Kitchen Restaurant,1,https://www.zomato.com/allahabad/raju-kitchen-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8309160322,9ACD32
24,"Chinese, North Indian, Continental, Beverages",Rs.,0,0,700,"Naini, Allahabad",18972306,0,19,3.5,1,0,25.4029140000,Good,0,"Arail Mod Chauraha, Infront Of Rudra Apartment, Naini, Allahabad",3,Busy Bee Restro,1,https://www.zomato.com/allahabad/busy-bee-restro-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8686910000,9ACD32
24,Fast Food,Rs.,0,0,200,"Civil Lines, Allahabad",18930442,0,35,3.8,1,0,25.4546670000,Good,0,"Shop 15, Tulsiani Grace Mall, Civil Lines, Allahabad",1,Andeywala,1,https://www.zomato.com/allahabad/andeywala-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8338890000,9ACD32
