cuisines,has_online_delivery,is_book_form_web_view,votes,name,switch_to_order_menu,has_table_booking,currency,rating_text,city_id,average_cost_for_two,has_fake_reviews,price_range,address,locality_verbose,aggregate_rating,latitude,country_id,is_table_reservation_supported,rating_color,url,longitude
"Cafe, Italian, Continental",1,0,216,Cafe El Chico,0,0,Rs.,Very Good,24,1000,0,4,"142A, 32, Mahatma Gandhi, Civil Lines, Allahabad","Civil Lines, Allahabad",4.3,25.4499432793,1,0,5BA829,https://www.zomato.com/allahabad/cafe-el-chico-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8362127244
"North Indian, Street Food, Fast Food",1,0,208,Bikanerwala,0,0,Rs.,Very Good,24,500,0,3,"2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad","Civil Li//console.log(data)nes, Allahabad",4.1,25.4513358811,1,0,5BA829,https://www.zomato.com/allahabad/bikanerwala-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8326148763
"North Indian, Fast Food, Street Food, South Indian, Chinese",0,0,288,Haldiram Bhujiawala,0,0,Rs.,Very Good,24,700,0,3,"25, Tashkent Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.1,25.4556116737,1,0,5BA829,https://www.zomato.com/allahabad/haldiram-bhujiawala-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8342027441
"North Indian, Chinese, Continental",0,0,75,EDEN by Connoisseur,0,0,Rs.,Very Good,24,1000,0,4,"Hotel Samrat, Civil Lines, Allahabad","Civil Lines, Allahabad",4.2,25.4498680000,1,0,5BA829,https://www.zomato.com/allahabad/eden-by-connoisseur-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8336210000
North Indian,1,0,95,Black Out Restaurant,0,0,Rs.,Good,24,500,0,3,"Allahabad - Pratapgarh Road, Barrister Mullah Colony, MNNIT Allahabad Campus, Teliarganj, Allahabad","Katra, Allahabad",3.9,25.4933473388,1,0,9ACD32,https://www.zomato.com/allahabad/black-out-restaurant-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8609634787
"Chinese, Continental, Momos",1,0,79,The Pantry Car,0,0,Rs.,Good,24,300,0,2,"38/1, Tashkand Marg, Agnipath Colony, Civil Lines, Prayagraj,","Civil Lines, Allahabad",3.9,25.4553010753,1,0,9ACD32,https://www.zomato.com/allahabad/the-pantry-car-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8356548250
"North Indian, Chinese",1,0,330,Tandoor Restaurant,0,0,Rs.,Average,24,500,0,3,"17/33, Mahatama Gandhi Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",2.7,25.4505127343,1,0,FFBA00,https://www.zomato.com/allahabad/tandoor-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8313559145
"Desserts, Fast Food",1,0,198,Paradise,0,0,Rs.,Excellent,24,500,0,3,"19/35, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.5,25.4501830501,1,0,3F7E00,https://www.zomato.com/allahabad/paradise-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8317683041
"Biryani, Mughlai",1,0,146,Baba Biryani,0,0,Rs.,Poor,24,500,0,3,"26, Tashkent Marg, Madhopur, Allahabad","Civil Lines, Allahabad",2.4,25.4554270100,1,0,FF7800,https://www.zomato.com/allahabad/baba-biryani-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8360980600
"North Indian, Mediterranean",0,0,235,Barbeque Nation,0,1,Rs.,Excellent,24,1200,0,4,"Fifth Floor, P Square Mall, MG Road, Civil Lines, Allahabad","Civil Lines, Allahabad",4.6,25.4494530000,1,1,3F7E00,https://www.zomato.com/allahabad/barbeque-nation-2-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8395360000
